Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
,,,,,,,,,,ADJUSTED,NUMBER OF,NUMBER OF,WATER TEMP AT
YEAR,SPECIES,"METRIC
TONS",POUNDS*,POUNDS(millions)*,VALUE,VALUE(millions),PRICE/LB,"ADJUSTED
PRICE/LB","ADJUSTED
VALUE","VALUE
(millions)","LICENSE
HOLDERS�",TRAPS -MILLIONS,"BOOTHBAY HARBOR
STATION (C)"
2009,"LOBSTER, AMERICAN","36,820","81,174,638",81.1746,"$237,536,890",237.5369,$2.93,$5.30,"$430,618,616.75",430.6186,"6,055",3.106,9.5
2010,"LOBSTER, AMERICAN","43,640","96,208,772",96.2088,"$318,052,441",318.0524,$3.31,$5.52,"$530,933,416.42",530.9334,"5,913",3.031,10.4
2011,"LOBSTER, AMERICAN","47,593","104,924,728",104.9247,"$334,539,734",334.5397,$3.19,$5.04,"$528,547,655.54",528.5477,"5,931",2.995,10.3
2012,"LOBSTER, AMERICAN","57,752","127,321,422",127.3214,"$342,079,520",342.0795,$2.69,$4.25,"$540,934,756.41",540.9348,"5,934",2.986,10.6
2013,"LOBSTER, AMERICAN","57,973","127,808,436",127.8084,"$370,383,982",370.3840,$2.90,$4.40,"$562,209,439.17",562.2094,"5,793",2.946,9.5
2014,"LOBSTER, AMERICAN","56,393","124,325,923",124.3259,"$459,508,386",459.5084,$3.70,$5.21,"$647,996,830.52",647.9968,"5,773",2.925,9.3
2015,"LOBSTER, AMERICAN","55,639","122,663,393",122.6634,"$502,450,309",502.4503,$4.10,$5.78,"$709,383,655.97",709.3837,"6,014",2.805,8.9
2016,"LOBSTER, AMERICAN","60,149","132,604,691",132.6047,"$540,671,929",540.6719,$4.08,$5.66,"$750,089,006.81",750.0890,"6,009",2.874,10.4
2017,"LOBSTER, AMERICAN","50,848","112,101,211",112.1012,"$438,976,767",438.9768,$3.92,$5.27,"$590,611,590.43",590.6116,"5,997",2.883,9.9
2018,"LOBSTER, AMERICAN","54,903","121,039,989",121.0400,"$490,596,147",490.5961,$4.05,$5.34,"$646,201,043.77",646.2010,"5,925",2.850,10.4
2019,"LOBSTER, AMERICAN","46,381","102,251,477",102.2515,"$493,125,881",493.1259,$4.82,$6.26,"$639,762,173.95",639.7622,"5,834",2.905,9.9
2020,"LOBSTER, AMERICAN","44,432","97,954,590",97.9546,"$412,629,231",412.6292,$4.21,$5.45,"$533,890,017.52",533.8900,"5,773",2.875,10.9
2021,"LOBSTER, AMERICAN","50,215","110,704,227",110.7042,"$742,989,021",742.9890,$6.71,$7.38,"$816,807,636.56",816.8076,"5,763",2.861,11.3
2022,"LOBSTER, AMERICAN","44,899","98,985,319",98.9853,"$393,277,277",393.2773,$3.97,$4.09,"$404,941,029.54",404.9410,"5,643",2.803,10.9
2023,"LOBSTER, AMERICAN","43,983","96,965,544",96.9655,"$482,061,884",482.0619,$4.97,$5.34,"$517,445,444.06",517.4454,"5,372",2.832,11.0
2024,"LOBSTER, AMERICAN","39,589","87,279,523",87.2795,"$536,466,702",536.4667,$6.15,$6.58,"$574,475,516.53",574.4755,"5,218",2.547,10.6
2025*,"LOBSTER, AMERICAN","35,755","78,826,683",78.8267,"$461,384,405",461.3844,$5.85,$5.85,"$461,136,095.55",461.1361,"5,060",2.631,9.3
